epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,230.579,1.27992,0.90356,0.98478,0.81868,0.88395,0.88741,0.52674,1.3051,0.9531,0.91918,0.000660045,0.000660045,0.000660045
43,235.966,1.27483,0.90634,0.97889,0.88615,0.91176,0.9199,0.55629,1.29836,0.88665,0.91274,0.000649046,0.000649046,0.000649046
44,241.423,1.27402,0.90474,0.97899,0.95181,0.96077,0.98022,0.60115,1.28973,0.75636,0.91085,0.000638047,0.000638047,0.000638047
45,246.922,1.24807,0.89974,0.97676,0.9413,0.96563,0.97271,0.59552,1.28386,0.77016,0.90957,0.000627048,0.000627048,0.000627048
46,252.419,1.24229,0.86855,0.97554,0.95459,0.97598,0.97551,0.61323,1.20337,0.7264,0.89198,0.000616049,0.000616049,0.000616049
47,257.946,1.24581,0.86982,0.97419,0.82083,0.8683,0.83797,0.49169,1.30341,1.00495,0.91248,0.000605051,0.000605051,0.000605051
48,263.408,1.27942,0.88301,0.98116,0.91917,0.93666,0.95958,0.58633,1.26161,0.81467,0.91124,0.000594052,0.000594052,0.000594052
49,268.891,1.26081,0.90402,0.9764,0.84139,0.88284,0.88008,0.53111,1.31463,0.94474,0.91516,0.000583053,0.000583053,0.000583053
50,274.422,1.25644,0.84162,0.97551,0.94172,0.96292,0.97287,0.5914,1.3115,0.74266,0.9139,0.000572054,0.000572054,0.000572054
51,279.923,1.266,0.85975,0.97461,0.95018,0.97384,0.98207,0.60239,1.26517,0.73979,0.90047,0.000561055,0.000561055,0.000561055
52,285.38,1.26529,0.87357,0.97827,0.96518,0.98148,0.98208,0.61951,1.21778,0.7222,0.89221,0.000550056,0.000550056,0.000550056
53,290.873,1.25224,0.86073,0.97456,0.85157,0.88398,0.86341,0.51317,1.30764,0.95957,0.91884,0.000539057,0.000539057,0.000539057
54,296.39,1.2376,0.83635,0.97257,0.94129,0.96043,0.97223,0.60634,1.25011,0.75486,0.90202,0.000528058,0.000528058,0.000528058
55,301.89,1.23552,0.82591,0.97084,0.98092,0.98352,0.98745,0.61171,1.25259,0.71281,0.90065,0.000517059,0.000517059,0.000517059
56,307.332,1.26061,0.84141,0.97648,0.96808,0.9839,0.98531,0.62822,1.22804,0.69412,0.90367,0.00050606,0.00050606,0.00050606
57,312.865,1.23546,0.843,0.97278,0.88002,0.89583,0.89892,0.53982,1.28056,0.89204,0.91349,0.000495062,0.000495062,0.000495062
58,318.347,1.23798,0.81317,0.96993,0.96874,0.98382,0.98493,0.61033,1.2587,0.70542,0.90004,0.000484063,0.000484063,0.000484063
59,323.891,1.24189,0.81046,0.97044,0.96274,0.97625,0.9843,0.63048,1.21493,0.69306,0.89373,0.000473064,0.000473064,0.000473064
60,329.285,1.23555,0.82428,0.97012,0.95618,0.97408,0.98124,0.59391,1.28651,0.72662,0.90743,0.000462065,0.000462065,0.000462065
61,334.61,1.22723,0.81943,0.96954,0.96615,0.97597,0.98424,0.6252,1.23187,0.682,0.89376,0.000451066,0.000451066,0.000451066
62,339.951,1.22429,0.79481,0.96621,0.96991,0.97412,0.98411,0.62752,1.21879,0.68563,0.88432,0.000440067,0.000440067,0.000440067
63,345.428,1.22558,0.82145,0.96578,0.94826,0.96082,0.97279,0.62599,1.23876,0.70383,0.89769,0.000429068,0.000429068,0.000429068
64,350.866,1.22764,0.80688,0.97049,0.9658,0.97772,0.98285,0.62629,1.25787,0.68314,0.90002,0.000418069,0.000418069,0.000418069
65,356.317,1.2151,0.81089,0.96365,0.96182,0.97496,0.98184,0.62292,1.24929,0.67554,0.88909,0.00040707,0.00040707,0.00040707
66,361.831,1.24723,0.79554,0.97323,0.92107,0.9514,0.95467,0.59421,1.26282,0.75637,0.89716,0.000396071,0.000396071,0.000396071
67,367.331,1.23181,0.79945,0.97176,0.97007,0.97529,0.98467,0.62758,1.23074,0.66725,0.89075,0.000385073,0.000385073,0.000385073
68,372.896,1.22713,0.79184,0.96061,0.94328,0.9686,0.97512,0.62758,1.21518,0.68755,0.88946,0.000374074,0.000374074,0.000374074
69,378.445,1.20748,0.76802,0.96476,0.97202,0.9804,0.98424,0.63149,1.20485,0.66164,0.8939,0.000363075,0.000363075,0.000363075
70,384.104,1.20778,0.77659,0.96402,0.95811,0.96456,0.97724,0.63722,1.18295,0.67528,0.88672,0.000352076,0.000352076,0.000352076
71,389.733,1.20672,0.762,0.96211,0.93808,0.95915,0.96874,0.6145,1.25206,0.70036,0.9002,0.000341077,0.000341077,0.000341077
72,395.239,1.22497,0.76766,0.96705,0.94074,0.95711,0.95338,0.59702,1.25906,0.74115,0.90485,0.000330078,0.000330078,0.000330078
73,400.743,1.20559,0.7507,0.96285,0.9137,0.93617,0.94728,0.60663,1.21003,0.75161,0.88727,0.000319079,0.000319079,0.000319079
74,406.3,1.20812,0.75899,0.96538,0.97202,0.9759,0.98256,0.61188,1.30258,0.66335,0.90081,0.00030808,0.00030808,0.00030808
75,411.753,1.19425,0.74622,0.95916,0.97327,0.98065,0.98472,0.64172,1.1895,0.64775,0.88701,0.000297081,0.000297081,0.000297081
76,417.283,1.20256,0.75589,0.96464,0.95915,0.9724,0.97929,0.63802,1.19802,0.65307,0.88655,0.000286083,0.000286083,0.000286083
